Site,Location,aspect,curvature,roughness,rugosity,slope,index
MPA,Ano Nuevo,200.4397716,0.0003275,,1.015864332,6.566425045,0.705917706
MPA,Ano Nuevo,193.9068915,0.001640219,,1.016285463,6.569047205,0.711144418
MPA,Ano Nuevo,200.6823637,-0.007562836,,1.030386714,9.395152719,1.028421134
MPA,Ano Nuevo,196.1270432,-0.009902363,,1.023152092,7.943876729,0.832680954
REF,Ano Nuevo,200.6645656,0.017362525,,1.022471016,8.159547987,0.850659674
REF,Ano Nuevo,204.4372846,-0.002453423,,1.011417857,4.712532354,0.492522584
REF,Ano Nuevo,199.7799252,0.005350114,,1.016319454,6.619607601,0.700300252
REF,Ano Nuevo,206.3583756,-0.002545772,,1.032851637,9.203531455,1.015105814
REF,Ano Nuevo,215.6547059,0.006793827,,1.024872217,6.324479167,0.683491371
REF,Ano Nuevo,215.286132,0.002284132,,1.026560113,6.382398857,0.685439253
REF,Ano Nuevo,207.8648591,-5.12E-05,,1.029426615,7.021900265,0.762022382
REF,Ano Nuevo,210.4048351,-0.007644799,,1.024906829,6.291799646,0.688061438
REF,Ano Nuevo,188.5600338,0.020212206,,1.038165174,9.773562621,1.048794018
REF,Ano Nuevo,184.9996573,0.01887091,,1.032625039,10.03577345,1.083372946
REF,Ano Nuevo,188.9974662,-0.003747536,,1.026288231,8.588998186,0.926275613
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
MPA,Farallon Island,,,,,,
REF,Farallon Island,,,,,,
REF,Farallon Island,,,,,,
REF,Farallon Island,,,,,,
REF,Farallon Island,,,,,,
REF,Farallon Island,,,,,,
REF,Farallon Island,,,,,,
REF,Farallon Island,,,,,,
REF,Farallon Island,,,,,,
REF,Farallon Island,,,,,,
REF,Bodega Head,190.789728,0.002208581,,1.007213563,4.69751,0.479327031
REF,Bodega Head,152.106368,0.019812055,,1.007291813,4.7043645,0.476671219
REF,Bodega Head,199.9094363,0.00287728,,1.010772226,5.916167431,0.619315723
REF,Bodega Head,185.224,-0.004400027,,1.007661188,4.8693345,0.503405563
REF,Bodega Head,184.554752,0.017240029,,1.015555688,6.835394,0.712757625
REF,Bodega Head,173.1944493,0.006270142,,1.014109741,6.634908829,0.70642836
REF,Bodega Head,197.140613,-0.018371222,,1.016252897,6.196692148,0.672083486
MPA,Bodega Head,198.6480534,0.009121482,,1.01466109,7.026784286,0.730755355
MPA,Bodega Head,217.5352,-0.011983959,,1.004032,3.243852,0.331046031
MPA,Bodega Head,203.5328786,0.000420167,,1.016149548,6.759002694,0.721101931
MPA,Bodega Head,210.767552,-0.003187884,,1.009272063,5.1266055,0.530063313
MPA,Bodega Head,209.943216,-0.007600126,,1.004175125,3.80498275,0.380120969
MPA,Bodega Head,211.5124998,-0.018206037,,1.011855517,5.842851802,0.620389049
MPA,Bodega Head,204.7064,0.000667695,,1.008300625,5.1398495,0.52626
MPA,Bodega Head,206.07424,0.000896283,,1.00483,4.206987,0.418496969
MPA,Bodega Head,203.1211569,-0.009298146,,1.011720562,6.124944512,0.649062173
MPA,Bodega Head,197.6788041,0.005580896,,1.016939167,7.195847138,0.767274085
MPA,Bodega Head,215.326,-0.001255892,,1.005914875,4.5447165,0.463789906
MPA,Bodega Head,209.569312,0.001484019,,1.012030625,6.0550965,0.63709275
MPA,Bodega Head,186.925617,-0.00301864,,1.016978424,7.180941178,0.766116182
REF,Bodega Head,186.605232,0.004360072,,1.026219188,8.358576,0.856904875
REF,Bodega Head,193.60192,-0.004896045,,1.021575688,8.018721,0.836173188
REF,Bodega Head,206.51872,0.004592191,,1.004639938,3.991304,0.401237469
REF,Bodega Head,165.6431806,0.038457675,,1.030381,8.871303468,0.918932326
REF,Bodega Head,204.768432,0.005720536,,1.027708688,8.593034,0.903111375
REF,Bodega Head,216.2387263,0.00125416,,1.003912322,3.623312354,0.360964993
REF,Bodega Head,208.0144644,0.006482341,,1.015111162,5.905695758,0.602652003
REF,Stewarts Point,181.4834044,0.015857907,,1.042165243,9.723470968,1.045161388
REF,Stewarts Point,198.9906424,0.011944871,,1.034808964,8.623486387,0.966295316
REF,Stewarts Point,209.5532608,-0.006029786,,1.05864302,11.23849914,1.234851528
REF,Stewarts Point,204.0415043,-0.008605989,,1.050748457,10.54999168,1.173104393
REF,Stewarts Point,251.1931289,0.147518608,,1.002659958,3.184233671,0.306081831
REF,Stewarts Point,205.6561739,0.008265546,,1.036231432,8.82103638,0.960575059
REF,Stewarts Point,187.5678801,-0.015381963,,1.041223733,9.202661255,0.986722807
REF,Stewarts Point,197.5543059,0.007687076,,1.028886978,7.867494524,0.836277346
REF,Stewarts Point,216.4688225,-0.033739152,,1.027039642,7.227404346,0.771659379
REF,Stewarts Point,210.6171652,-0.030030808,,1.07777542,12.31247813,1.412056547
REF,Stewarts Point,201.2108017,-0.041214762,,1.033941681,8.538053088,0.905468
MPA,Stewarts Point,190.9844651,0.000546564,,1.046319929,10.7568441,1.154566311
MPA,Stewarts Point,218.3702501,-0.029875569,,1.035875613,8.950575791,0.942880476
MPA,Stewarts Point,196.5779902,-0.000764497,,1.050803576,11.65779642,1.258924909
MPA,Stewarts Point,221.3653353,-0.007999311,,1.032138358,8.24823642,0.887290074
MPA,Stewarts Point,219.7936101,-0.019724287,,1.045176668,9.373886537,1.029060964
MPA,Stewarts Point,211.5502384,0.00143995,,1.040179152,8.840747096,0.94319988
MPA,Stewarts Point,201.7155778,-0.002446137,,1.09701799,14.82569353,1.676006315
MPA,Stewarts Point,,,,,,
MPA,Stewarts Point,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
MPA,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
REF,Ten Mile,,,,,,
MPA,Cape Mendocino,188.843041,-0.010511415,,1.027032661,9.329658646,0.895369584
MPA,Cape Mendocino,186.1700302,0.003874318,,1.02289934,9.030646302,0.862776046
MPA,Cape Mendocino,181.3102291,-0.00272536,,1.029508026,9.335573957,0.923833963
,Cape Mendocino,,,,,,
MPA,Cape Mendocino,194.326657,0.021797344,,1.016485124,6.369509468,0.620099342
MPA,Cape Mendocino,206.074559,-0.00128506,,1.007790485,3.464763611,0.341143349
MPA,Cape Mendocino,201.6830526,0.019306875,,1.009818729,4.201387503,0.418918012
MPA,Cape Mendocino,200.0012128,0.024419548,,1.014232386,4.518800566,0.458468807
MPA,Cape Mendocino,214.4865127,-0.001698394,,1.00815769,2.911826346,0.29792674
MPA,Cape Mendocino,163.5575637,0.001371245,,1.028151966,10.30017034,0.982885149
MPA,Cape Mendocino,173.7696302,-0.005998862,,1.047294294,12.70128905,1.279338416
MPA,Cape Mendocino,182.0330812,0.000969666,,1.02732478,9.605229837,0.937342791
MPA,Cape Mendocino,189.9381275,0.003934761,,1.006243577,3.622472863,0.359786982
MPA,Cape Mendocino,189.1792653,0.013022926,,1.008998986,4.334783941,0.430732894
MPA,Cape Mendocino,206.1871056,0.014452996,,1.016498692,5.106279392,0.516719129
MPA,Cape Mendocino,194.2468521,0.001554835,,1.008057122,3.651513291,0.360905133
MPA,Cape Mendocino,200.893987,0.004927489,,1.012621478,3.849583504,0.400554326
MPA,Cape Mendocino,181.8418594,0.011557078,,1.024017987,9.40064284,0.883745116
MPA,Cape Mendocino,221.7002093,-0.000576129,,1.006445081,3.252137577,0.330016325
MPA,Cape Mendocino,174.8375527,0.015969005,,1.042301999,11.95023428,1.19510169
MPA,Cape Mendocino,175.0015019,0.000710841,,1.022117753,9.000724004,0.854878375
MPA,Cape Mendocino,188.9543807,0.012359676,,1.003410819,3.456216219,0.329899051
MPA,Cape Mendocino,190.1688987,0.007018521,,1.003334114,3.406617324,0.316304229
MPA,Cape Mendocino,196.5348952,0.001440171,,1.003335764,2.880284307,0.278039792
MPA,Cape Mendocino,178.1790289,0.000462358,,1.018739955,8.817603019,0.822467582
REF,Cape Mendocino,171.816255,0.031772727,,1.057027986,12.93736493,1.363841608
REF,Cape Mendocino,172.1876694,-0.019041164,,1.102148265,17.86522288,1.92349074
REF,Cape Mendocino,182.1888199,0.001675701,,1.063700294,12.94741706,1.375189922
REF,Cape Mendocino,182.9808827,0.002505932,,1.029018466,8.685336878,0.914776503
REF,Cape Mendocino,163.9368955,0.031877703,,1.080133789,16.02319627,1.707252148
REF,Cape Mendocino,168.3380916,0.005361261,,1.085075014,16.51824065,1.746232402
REF,Cape Mendocino,214.6715304,0.011365114,,1.027699747,7.151983766,0.729693032
REF,Cape Mendocino,172.6280001,0.018562684,,1.070740458,14.98812134,1.555946206
REF,Cape Mendocino,170.9533497,0.045872736,,1.073128498,15.3082202,1.582241628
REF,Cape Mendocino,173.0407431,0.013685933,,1.041654292,11.64510943,1.164349785
REF,Cape Mendocino,177.5943187,-0.003014532,,1.031435852,10.34527469,1.028458985
REF,Cape Mendocino,168.8624462,0.008156559,,1.042661657,12.11926926,1.22705796
REF,Cape Mendocino,163.3111866,-0.01586018,,1.0530963,13.36945434,1.37326393
REF,Cape Mendocino,167.7846546,0.01232266,,1.052303747,13.13106157,1.360038732
REF,Cape Mendocino,216.3992857,0.002754417,,1.006593873,3.827908288,0.367745294
REF,Cape Mendocino,158.8652752,-0.001023017,,1.041081611,11.52669525,1.207698606
REF,Cape Mendocino,181.8433529,-0.005215017,,1.01669839,7.254191909,0.760167701
REF,Cape Mendocino,181.2472945,-0.009531247,,1.02235505,7.789803199,0.834396156
REF,Cape Mendocino,194.1007732,0.006508398,,1.019149686,8.120602332,0.780115958
REF,Cape Mendocino,192.8892201,0.024362818,,1.023787847,9.300566533,0.891470042
REF,Cape Mendocino,181.8037949,-0.009679165,,1.03311471,10.98684625,1.068697431
REF,Cape Mendocino,182.4919714,0.002292897,,1.035431562,11.52764279,1.127881181
REF,Cape Mendocino,169.1690475,0.005639554,,1.046684302,13.00396093,1.306674069
REF,Cape Mendocino,167.8016234,0.009823106,,1.052141015,13.54946459,1.380034041
REF,Cape Mendocino,161.760314,-0.024146009,,1.066665495,15.08423969,1.57723372
REF,Cape Mendocino,159.1447616,0.012776705,,1.063379296,14.55357798,1.544692832
REF,Cape Mendocino,163.3866332,0.009363701,,1.061177477,14.49546821,1.517045682
REF,Cape Mendocino,159.0069378,0.011793784,,1.058635463,14.00854434,1.475172495
REF,Cape Mendocino,194.400016,0.011289915,,1.018852538,8.12879209,0.777006393
REF,Cape Mendocino,185.6493812,-0.00628835,,1.006244578,4.430846046,0.456894708
REF,Cape Mendocino,195.2755421,-0.003181142,,1.017256756,7.716796377,0.744257401
REF,Cape Mendocino,195.8546414,0.018183939,,1.017957213,8.209512096,0.790599659
REF,Cape Mendocino,187.4566722,-0.011996038,,1.020607419,8.596117122,0.836244416
REF,Cape Mendocino,180.2870815,-0.006327487,,1.024053597,9.265854043,0.908209387
REF,Cape Mendocino,180.754596,-0.007729798,,1.020394503,8.186439681,0.810389266
REF,Cape Mendocino,173.6115958,0.00674345,,1.016396655,7.078760268,0.716307246
REF,Cape Mendocino,182.5482474,-2.01E-05,,1.01404734,5.617326735,0.572997106
REF,Cape Mendocino,193.3393271,-0.007259282,,1.008530522,4.997210902,0.473425264
REF,Cape Mendocino,193.5926453,-0.005441877,,1.010249986,5.647323071,0.536077422
REF,Cape Mendocino,185.9987521,0.008283948,,1.014065825,7.126603423,0.670881548
REF,Cape Mendocino,193.22552,-0.011300368,,1.016852125,7.6967165,0.730236875
REF,Cape Mendocino,175.841792,-0.018555693,,1.02670925,9.332978,0.913301188
REF,Cape Mendocino,181.7037973,0.018162359,,1.027961072,9.677020018,0.951693287
REF,Cape Mendocino,176.59714,-0.00502626,,1.022599554,8.686023425,0.853487821
REF,Cape Mendocino,172.3981541,-0.018755388,,1.010831477,6.019887909,0.581579866
REF,Cape Mendocino,189.7350716,0.001911334,,1.006805617,4.243440074,0.40986557
REF,Cape Mendocino,205.5345492,-0.008014754,,1.014543462,7.199956503,0.686388276
REF,Cape Mendocino,182.7572393,0.002168083,,1.035669951,10.29215495,1.041076557
REF,Cape Mendocino,181.9718783,0.016504129,,1.042805662,11.39576035,1.16087059
REF,Cape Mendocino,181.0209593,0.011323458,,1.039908973,11.47795971,1.147830394
REF,Cape Mendocino,176.3416519,-0.003131401,,1.023054817,8.533854042,0.833588538
REF,Cape Mendocino,180.465632,0.016443559,,1.014326875,6.085503,0.5879105
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
REF,Trinidad,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
